,,,3łozyska,,,,,,4 łożyska,,,,,5łożyska,,,,,
wys\szer,"0,3","0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2"
"0,8","46,39","46,39","54,85","65,30","73,76","82,22","90,69","99,15","107,62","118,06","126,53","134,99","143,46","151,92","162,36","170,83","179,29","187,76","196,22","204,69"
"0,9","49,26","49,26","58,40","69,52","78,66","87,80","96,93","106,07","115,21","126,33","135,47","144,61","153,75","162,89","174,01","183,15","192,29","201,43","210,57","219,71"
1,"52,13","52,13","61,94","73,74","83,55","93,37","103,18","113,00","122,81","134,60","144,42","154,23","164,05","173,86","185,66","195,47","205,29","215,10","224,91","234,73"
"1,1","55,00","55,00","65,49","77,96","88,45","98,94","109,43","119,92","130,41","142,88","153,36","163,85","174,34","184,83","197,30","207,79","218,28","228,77","239,26","249,75"
"1,2","57,87","57,87","69,03","82,18","93,34","104,51","115,67","126,84","138,00","151,15","162,31","173,48","184,64","195,80","208,95","220,11","231,28","242,44","253,61","264,77"
"1,3","60,74","60,74","72,58","86,40","98,24","110,08","121,92","133,76","145,60","159,42","171,26","183,10","194,94","206,78","220,59","232,43","244,27","256,11","267,95","279,79"
"1,4","63,61","63,61","76,13","90,62","103,14","115,65","128,16","140,68","153,19","167,69","180,20","192,72","205,23","217,75","232,24","244,76","257,27","269,78","282,30","294,81"
"1,5","66,48","66,48","79,67","94,84","108,03","121,22","134,41","147,60","160,79","175,96","189,15","202,34","215,53","228,72","243,89","257,08","270,27","283,46","296,64","309,83"
"1,6","69,35","69,35","83,22","99,06","112,93","126,79","140,66","154,52","168,39","184,23","198,09","211,96","225,82","239,69","255,53","269,40","283,26","297,13","310,99","324,86"
"1,7","72,23","72,23","86,76","103,28","117,82","132,36","146,90","161,44","175,98","192,50","207,04","221,58","236,12","250,66","267,18","281,72","296,26","310,80","325,34","339,88"
"1,8","75,10","75,10","90,31","107,51","122,72","137,93","153,15","168,36","183,58","200,77","215,99","231,20","246,42","261,63","278,82","294,04","309,25","324,47","339,68","354,90"
"1,9","77,97","77,97","93,86","111,73","127,62","143,51","159,39","175,28","191,17","209,04","224,93","240,82","256,71","272,60","290,47","306,36","322,25","338,14","354,03","369,92"
2,"80,84","80,84","97,40","115,95","132,51","149,08","165,64","182,21","198,77","217,31","233,88","250,44","267,01","283,57","302,12","318,68","335,25","351,81","368,37","384,94"
"2,1","83,71","83,71","100,95","120,17","137,41","154,65","171,89","189,13","206,37","225,59","242,82","260,06","277,30","294,54","313,76","331,00","348,24","365,48","382,72","399,96"
"2,2","86,58","86,58","104,49","124,39","142,30","160,22","178,13","196,05","213,96","233,86","251,77","269,69","287,60","305,51","325,41","343,32","361,24","379,15","397,07","414,98"
"2,3","89,45","89,45","108,04","128,61","147,20","165,79","184,38","202,97","221,56","242,13","260,72","279,31","297,90","316,49","337,05","355,64","374,23","392,82","411,41","430,00"
"2,4","92,32","92,32","111,59","132,83","152,10","171,36","190,62","209,89","229,15","250,40","269,66","288,93","308,19","327,46","348,70","367,97","387,23","406,49","425,76","445,02"
"2,5","95,19","95,19","115,13","137,05","156,99","176,93","196,87","216,81","236,75","258,67","278,61","298,55","318,49","338,43","360,35","380,29","400,23","420,17","440,10","460,04"
"2,6","98,06","98,06","118,68","141,27","161,89","182,50","203,12","223,73","244,35","266,94","287,55","308,17","328,78","349,40","371,99","392,61","413,22","433,84","454,45","475,07"
"2,7","100,94","100,94","122,22","145,49","166,78","188,07","209,36","230,65","251,94","275,21","296,50","317,79","339,08","360,37","383,64","404,93","426,22","447,51","213,29","490,09"
"2,8","103,81","103,81","125,77","149,72","171,68","193,64","215,61","237,57","259,54","283,48","305,45","327,41","349,38","371,34","395,28","417,25","439,21","461,18","483,14","505,11"
"2,9","106,68","106,68","129,32","153,94","176,58","199,22","221,85","244,49","267,13","291,75","314,39","337,03","359,67","382,31","406,93","429,57","452,21","474,85","497,49","520,13"
3,"109,55","109,55","132,86","158,16","181,47","204,79","228,10","251,42","274,73","300,02","323,34","346,65","369,97","393,28","418,58","441,89","465,21","488,52","511,83","535,15"
